NAME,LAT,LONG
Action contre le SIDA,6.140932,1.255575
Action pour le Développement Intégral de la Femme au Togo,6.19372,1.241718
Direct Aid (Ex Agence des Musulmans d'Afrique),6.168706,1.2258
Agence Welcome,6.162483,1.227912
Amis pour une Nouvelle Génération d'Enfants,6.155925,1.230453
APE (Albert Camus),6.144955,1.200347
Association Viwo Africa,6.155014,1.239569
Association BENHUR,6.277761,1.196432
Association Délali,6.141201,1.262927
Association des Jeunes pour Assistance et Actions Humanitaires,6.277761,1.196432
Association des Jeunes Volontaire Dévouées pour le Développement - TOGO,6.18002,1.152562
Association des Serviteurs de l'Humanité Togo,6.229192,1.203529
Association FOL'BO,6.151994,1.246474
Association Rayon de la Fraternité Togo,6.174456,1.178539
BEN HUR,6.277761,1.196432
Bon Sens Humanitaire International,6.140218,1.211376
Centre d'Accueil Maison Béthanie,6.189672,1.24443
Centre d'Action Dorcas,6.190523,1.090993
Centre de Développement des Enfants ISRAEL TG-121,6.232429,1.140421
Centre de Développement des Enfants SALEM,6.258346,1.16201
Centre de Jeunes de Lomé (CJL - ATBEF),6.21615,1.180551
Cercle de Reflexion Culturelle,6.140526,1.201594
Cercle d'Entraide au Développement Intégral de l'Enfants,6.168229,1.22863
CHOISIS LE BIEN,6.154453,1.251627
Club d'Action pour le Développement de l'Education et de la Culture,6.174911,1.279871
Club des Enfants du Monde,6.25288,1.120262
Club des Mères (CFEN) Communauté d'Epanouissement des Femmes de Nyékonakpoè,6.129051,1.209188
Centre KEKELI,6.139184,1.217338
Collectif des Associations contre l'Impunité au Togo (CACIT),6.171235,1.243031
Parlementaire Sans Frontière,6.181336,1.175606
Association pour la Promotion des Handicapé Talentueux (AHANTA),6.142268,1.210353
Comité de Développement du Quartier KODOME (Commission Protection de l'Enfants),6.137555,1.202105
CDQ Tokoin Dogbéavou (Commission Protection de l'Enfant),6.155249,1.214142
Compassion International,6.17405,1.239716
Croix - Rouge Togolaise Section Locale de Bè,6.139026,1.228734
Croix-Rouge Section Be-Kpota,6.161736,1.262324
Ecole Intégrée Vivenda des Sourds,6.140011,1.245966
Envol Wuiti,6.162577,1.232022
Espace des Volontaires pour l'Humanitaire et l'Action Sociale,6.121829,1.208867
Fondation Terre des Hommes Lausanne Délégation du Togo,6.156296,1.205362
Fonds MAKAFUI,6.208016,1.160688
Foyer des Jeunes pour un Meilleur Avenir,6.23144,1.127723
Groupe d'Action pour l'Alimentation Infantile au Togo,6.185998,1.247764
Jeunes Missionnaires d'Aide Humanitaire,6.128681,1.202423
ONG Afrique Solidarité International Togo (ADIT),6.165753,1.204754
ONG Jeunesse Antonienne Togolaise (JATO)/ Foyer Antonie,6.25288,1.120262
ONG Maison des Enfants Déshérités,6.16884,1.272406
ONG Mercy,6.156575,1.204069
Organisation de Charité pour un Développement Intégral,6.174063,1.23931
"Orphelinat ""Le Bon Samaritain""",6.258107,1.17166
Orphelinat Avenir Enfance Togo,6.218848,1.192735
Orphenilat Bethel,6.183241,1.177872
Orphenilat  KINDERHAUS - FRIEDA,6.194601,1.147376
Orphenilat  Marie-Reine de la Croix,6.150001,1.202175
Planète Espoir / Hope Planet,6.167762,1.234581
Réhabilitation des Marginaux,6.174232,1.183931
Synergie d'Action pour un Développement Approprié,6.202052,1.143544
Togo Smile,6.277761,1.196432
Union Chrétienne de Jeunes Gens ( UCJG/YMCA-TOGO),6.149857,1.266934
VIE PLUS (Association Togolaise de Soin Palliatif),6.140288,1.272853
Village d'Enfants SOS Lomé,6.431644,1.222676
Centre de Développement des Enfants,6.172137,1.315965
Centre de Développement des Enfants (CDE) La Trompette de Sanguéra TG-671,6.234219,1.097924
Centre de Développement des Enfants Aménouvévé,6.2332,1.151761
Centre de Développement des Enfants Pénuel Kohé,6.220629,1.141527
Centre de Développement des Enfants SILO,6.24912,1.134475
Centre d'Orphelinat La Renaissance,6.237545,1.109702
Cercle d'Aide aux Enfants de Rue (CAER),6.277681,1.212459
Espace maranatha,6.194601,1.147376
Association Jeunes du Bon Berger en Action  pour le Développement,6.313001,1.240766
Suisse - Togo,6.386513,1.197001
Groupe de Réflexion et d'Action Femme Democratie et Developpement  / Centre de Recherche d'Information et de Formation pour la Femme,6.421324,1.207681
ONG Solidarité Enfance et Vie,6.419972,1.210166
Orphelinat Centre Humanitaire pour le Bien être des Enfants Délaissés,6.310283,1.217493
Eglise Saint Antione de Padou,6.384036,1.187682
Vie Nouvelle et Développement Intégral,6.430492,1.206466
Action Pour la Jeunesse d'Afrique,8.982289,1.13903
Appui au Développement et à la Santé Communautaire,9.004049,1.138288
Association CREUSET des Jeunes pour le Développement et L'Epanouissement des Populations,8.964854,1.14544
Association de Personnes Handicapées Monde Radieux,8.999756,1.122622
Association pour la Coopération Ismalique,8.988828,1.136839
Club des Amis du Village,8.982231,1.139411
Espoir Vie - Togo (Région Centrale),8.967551,1.153642
Institut de Formation et de Réadaptation des Aveugles et Malvoyants,8.983006,1.138387
ONG Construire Ensemble,8.973329,1.144097
ONG Dimension Humaines,8.98291,1.139333
Plan International Togo,8.975771,1.137815
Programme d'Action Sociale Pour le Développement Intégrale en Afrique,8.975648,1.137259
Programme d'Appui à la Femme et à l'Enfance Déshéritée,9.009726,1.136241
Programme d'Appui et de Soutien aux Enfants Orphelins et leur Réinsertion Sociale au Togo,8.970023,1.13681
Tamade ONG D'autopromotion des Femmes pour un Développement Durable,8.974548,1.137366
Action Humanitaire pour les Enfants en Difficultés,9.354189,1.239753
Agence des Musulmans d'Afrique / Direct Aid Centre Socio-Educatif EL HOUDA - BAFILO,9.354348,1.254957
Association des Educateurs pour la Promotion Scolaire et Culturelle,9.355458,1.243928
Association des Personnes Handicapées d'Assoli,9.349646,1.247792
Santé Rurale en Afrique,9.564345,1.196172
Association CREUSET des Jeunes pour la Développement et l'Epanouissement Intégral des Populations,9.265212,0.781569
Association pour le Développement de l'Enfants Togolais,9.258707,0.782619
Centre de Prise en Charge des Personnes Portant un Handicap / Groupe d'Action pour le Développement Local,9.261907,0.769158
Comité International d'Ethique et de Solidarité,9.259951,0.783258
ONG Association des Volontaires en Lutte contre le SIDA,9.260732,0.782428
Orphelinat Saint Joseph de la Providence de Saint André de Peltre,9.265261,0.778825
Action Humanitaire pour les Enfants en Difficulté - Togo,9.730646,1.246228
Association pour une Action Humanitaire,9.665138,1.308844
Centre de Développement d'Enfants,9.747553,1.317797
Cercle des Volontaires pour la Protection et le Développement des Enfants Vulnérables,9.742531,1.320924
Foyer des Filles des Sœurs PSP Kétao,9.665467,1.30926
Orphelinat Bienheureuse Régina Protmann,9.742588,1.321023
Santé Rurale en Afrique,9.750362,1.325504
"Association ""Arc - en - Ciel""",9.683503,0.607501
Foyer des Jeunes Filles de Guérin - Kouka,9.702281,0.607795
Monde Digne de l'Enfant et de la Femme au Togo,9.665494,0.614746
ONG Cor Afrique,9.68578,0.609098
BORNEfonden / UD - D'TCHAR - 0342,9.528008,1.185966
Centre d'Appui pour le Développement des Industries Féminines,9.760202,1.107086
Centre de Récupération Nutritionnelle Saint Kisito de Broukou,9.736133,0.919636
Centre Dyssirana,9.774254,1.113606
Centre Hulmen Défalé,9.866296,1.093495
Foyer Mère Josepha,9.916712,0.768269
Organisation Non Lucrative d'Utilité Sociale Marco di Martino,10.142678,1.082396
Orphelinat des Saints Innocents de Kantè,9.93725,1.036599
Association des Personnes Handicapées de la Kozah,9.537551,1.197286
Centre des Aveugles Saint - Paul d'Atéda - Kara,9.506651,1.208274
Ecole Vivenda des Sourds Centre de Kara,9.551952,1.20032
Foyer Essomanda,9.549716,1.213359
Foyer Pierre du Pauvre,9.55157,1.209644
Renaître avec Sœur Léa,9.5559,1.208641
SOS Village d'Enfants,9.559196,1.21183